analysis,dataset,n_removed_outliers,removed_models,accuracy,precision,recall,f1,auc,best_c,permutation_pvalue
logistic_loocv,full,0,,0.45454545454545453,0.0,0.0,0.0,0.5,0.001,1.0
logistic_loocv,without_outliers,4,"Complex8, Complex5, Complex4, Complex10",0.42857142857142855,0.0,0.0,0.0,0.5,0.001,
