C,accuracy,precision,recall,f1,auc
0.001,0.45454545454545453,0.0,0.0,0.0,0.5
0.01,0.45454545454545453,0.0,0.0,0.0,0.5
0.1,0.45454545454545453,0.0,0.0,0.0,0.5
