model,auc,f1,balanced_acc,perm_p
Baseline (majoria),0.5,0.0,0.5,
LR L1 C=0.187,0.6255897435897436,0.4473980273252719,0.5750384615384616,0.0398406374501992
RF max_depth=3,0.629948717948718,,,
