,Original (strong+weak),Restrictiu (only strong)
ros_p_aa_pp,-0.30360655737704917,-0.29918032786885246
ros_pro_close,-0.2904918032786885,-0.29918032786885246
sum_iptm,0.24,0.2848360655737705
sum_ranking_score,0.23737704918032787,0.26741803278688525
ros_yhh_planarity,-0.23540983606557378,-0.1680327868852459
sum_chain_pair_pae_cross_chain_min,-0.22885245901639345,-0.26844262295081966
