model,auc,f1,balanced_acc,perm_p
Baseline (maj. class),0.5,0.0,0.5,
LR L1 C=0.534,0.6592307692307692,0.47373494152905915,0.6088589743589743,0.01593625498007968
RF max_depth=3,0.659948717948718,0.4337795537795538,0.6318076923076924,
