feature,auc,ci_lo,ci_hi
rosetta_p_aa_pp_mean,0.6518032786885246,0.5298292556568509,0.7689071288520671
rosetta_pro_close_mean,0.6452459016393443,0.5121597604084842,0.7647862017015243
summary_iptm,0.6200000000000001,0.49653945691989176,0.7382315236147059
summary_ranking_score,0.618688524590164,0.49126054336329983,0.738440303657695
rosetta_yhh_planarity_mean,0.6177049180327868,0.4876685731312328,0.7441056499360328
summary_chain_pair_pae_cross_chain_min,0.6144262295081967,0.4915916727761487,0.732199128772521
