penalty,C,mean_auc
l1,0.5336699231206307,0.7035897435897436
l1,0.1873817422860383,0.6717948717948717
l2,0.02310129700083159,0.6561538461538461
l2,0.008111308307896872,0.6502564102564102
l2,1.5199110829529332,0.6494871794871794
l1,12.32846739442066,0.6435897435897435
l2,4.328761281083057,0.6433333333333333
l1,1.5199110829529332,0.6428205128205128
l2,0.0657933224657568,0.642051282051282
l2,0.5336699231206307,0.6417948717948718
l2,0.1873817422860383,0.6417948717948718
l2,12.32846739442066,0.6376923076923077
l2,0.001,0.633846153846154
l2,0.002848035868435802,0.633846153846154
l1,4.328761281083057,0.6338461538461538
l2,35.11191734215127,0.6274358974358974
l2,100.0,0.6274358974358974
l1,35.11191734215127,0.6274358974358974
l1,100.0,0.6241025641025642
l1,0.002848035868435802,0.5
l1,0.0657933224657568,0.5
l1,0.02310129700083159,0.5
l1,0.008111308307896872,0.5
l1,0.001,0.5
