,Original (strong+weak),Restrictiu (only strong)
ros_p_aa_pp,-0.3248847926267281,-0.2709739633558341
ros_pro_close,-0.31105990783410137,-0.32497589199614274
sum_iptm,0.27131336405529954,0.28640308582449375
sum_ranking_score,0.25921658986175117,0.274831243972999
sum_chain_pair_pae_cross_chain_min,-0.2523041474654378,-0.2767598842815815
ranking_score,0.25,0.2709739633558341
