penalty,C,mean_auc
l1,0.1873817422860383,0.671965811965812
l2,0.0657933224657568,0.6538034188034187
l2,0.1873817422860383,0.6516239316239316
l1,0.5336699231206307,0.651025641025641
l2,0.5336699231206307,0.6497435897435897
l1,1.5199110829529332,0.6475641025641026
l2,1.5199110829529332,0.6472649572649573
l2,0.02310129700083159,0.6414957264957266
l2,4.328761281083057,0.625042735042735
l1,4.328761281083057,0.6231623931623932
l2,0.008111308307896872,0.6186752136752137
l2,12.32846739442066,0.6114529914529915
l1,12.32846739442066,0.6052991452991453
l2,35.11191734215127,0.5963675213675212
l1,35.11191734215127,0.5938888888888888
l2,100.0,0.588034188034188
l2,0.002848035868435802,0.586923076923077
l1,100.0,0.5852564102564102
l2,0.001,0.5755128205128205
l1,0.002848035868435802,0.5
l1,0.0657933224657568,0.5
l1,0.02310129700083159,0.5
l1,0.008111308307896872,0.5
l1,0.001,0.5
