feature,auc,ci_lo,ci_hi
rosetta_p_aa_pp_mean,0.6624423963133641,0.5438869182212173,0.7737114463601532
rosetta_pro_close_mean,0.6555299539170507,0.5236729728652467,0.7759272353747202
summary_iptm,0.6356566820276498,0.5086119841718485,0.7498501791062125
summary_ranking_score,0.6296082949308756,0.5032316844717594,0.7446464021894983
summary_chain_pair_pae_cross_chain_min,0.6261520737327189,0.5030956740689565,0.7405715287160386
ranking_score,0.625,0.4967647270114943,0.7415384615384615
